Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 43.70      6.15     6.15 812800000     0.00     0.00  min_image_distance(System const&, int, int, double&, double&, double, double)
 32.37     10.71     4.56 3289600512     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
 14.35     12.73     2.02    50000     0.04     0.25  compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  3.80     13.27     0.54      256     2.09     2.09  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  2.42     13.61     0.34        6    56.70    56.70  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  1.49     13.82     0.21 128125423     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.57     13.90     0.08    50000     0.00     0.00  move(System&, double)
  0.50     13.97     0.07   200007     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.43     14.03     0.06    50000     0.00     0.00  update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double)
  0.21     14.06     0.03    50001     0.00     0.00  current_temp(System const&, double)
  0.14     14.08     0.02   100008     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.07     14.09     0.01    50001     0.00     0.00  scale_velocities(System&, double, double)
  0.00     14.09     0.00   300042     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     14.09     0.00   300027     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     14.09     0.00   300000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00     14.09     0.00   200025     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00     14.09     0.00   200009     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     14.09     0.00   200009     0.00     0.00  std::allocator<double>::~allocator()
  0.00     14.09     0.00   200007     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     14.09     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00     14.09     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00     14.09     0.00   200000     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00     14.09     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   200000     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   100031     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     14.09     0.00   100014     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     14.09     0.00   100014     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     14.09     0.00   100014     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     14.09     0.00   100014     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     14.09     0.00   100008     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     14.09     0.00   100008     0.00     0.00  std::allocator<double>::allocator()
  0.00     14.09     0.00   100008     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     14.09     0.00   100008     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     14.09     0.00   100007     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00     14.09     0.00   100007     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00     14.09     0.00   100007     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     14.09     0.00   100007     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00     14.09     0.00   100007     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00     14.09     0.00   100006     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     14.09     0.00   100006     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     14.09     0.00   100006     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00     14.09     0.00   100001     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00     14.09     0.00   100001     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00     14.09     0.00   100001     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00     14.09     0.00   100001     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00     14.09     0.00   100001     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00     14.09     0.00   100000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_propagate_on_copy_assign()
  0.00     14.09     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00     14.09     0.00   100000     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     14.09     0.00   100000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_erase_at_end(double*)
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::end()
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::assign(unsigned long, double const&)
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00     14.09     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.00     14.09     0.00   100000     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   100000     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.00     14.09     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   100000     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00     14.09     0.00   100000     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::allocator<double>&)
  0.00     14.09     0.00      632     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00     14.09     0.00      632     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00     14.09     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     14.09     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00     14.09     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00     14.09     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00     14.09     0.00      316     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
