Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 62.76      2.81     2.81    50000     0.06     0.07  compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
 18.98      3.66     0.85 864000512     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  7.82      4.01     0.35      256     1.37     1.37  double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  5.25      4.25     0.24 128125090     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  1.12      4.30     0.05    50000     0.00     0.00  move(System&, double)
  0.89      4.34     0.04   100009     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.89      4.38     0.04    50000     0.00     0.00  update_velocities(System&, std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> > const&, double)
  0.67      4.41     0.03    50001     0.00     0.00  current_temp(System const&, double)
  0.67      4.44     0.03    50001     0.00     0.00  scale_velocities(System&, double, double)
  0.33      4.45     0.02       10     1.50     1.50  std::vector<double, std::allocator<double> >::~vector()
  0.22      4.46     0.01   300042     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.22      4.47     0.01   100000     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.22      4.48     0.01                             double* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      4.48     0.00   300000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      4.48     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      4.48     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      4.48     0.00   200000     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00      4.48     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      4.48     0.00   200000     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      4.48     0.00   100031     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      4.48     0.00   100027     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      4.48     0.00   100009     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      4.48     0.00   100000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_propagate_on_copy_assign()
  0.00      4.48     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      4.48     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
