Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 83.02      1.17     1.17    50000    23.41    24.55  compute_forces(System const&, double, double, double, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&)
  5.68      1.25     0.08    50000     1.60     1.84  move(System&, double)
  2.84      1.29     0.04 227200256     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  2.84      1.33     0.04    50001     0.80     0.85  current_temp(System const&, double)
  2.13      1.36     0.03    50001     0.60     1.49  scale_velocities(System&, double, double)
  1.42      1.38     0.02 64031409     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  1.42      1.40     0.02   100009     0.20     0.20  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.71      1.41     0.01   300000     0.03     0.03  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00      1.41     0.00   300042     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      1.41     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      1.41     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      1.41     0.00   200000     0.00     0.00  std::vector<double, std::allocator<double> >::capacity() const
  0.00      1.41     0.00   200000     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.41     0.00   200000     0.00     0.00  double const* std::__niter_base<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      1.41     0.00   100031     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      1.41     0.00   100027     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      1.41     0.00   100009     0.00     0.20  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      1.41     0.00   100000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<double>, double>::_S_propagate_on_copy_assign()
  0.00      1.41     0.00   100000     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00      1.41     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      1.41     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      1.41     0.00   100000     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      1.41     0.00   100000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.41     0.00   100000     0.00     0.20  std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&)
  0.00      1.41     0.00   100000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_erase_at_end(double*)
  0.00      1.41     0.00   100000     0.00     0.03  std::vector<double, std::allocator<double> >::end()
  0.00      1.41     0.00   100000     0.00     0.03  std::vector<double, std::allocator<double> >::begin()
  0.00      1.41     0.00   100000     0.00     0.20  std::vector<double, std::allocator<double> >::assign(unsigned long, double const&)
  0.00      1.41     0.00   100000     0.00     0.10  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&)
  0.00      1.41     0.00   100000     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.41     0.00   100000     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.00      1.41     0.00   100000     0.00     0.03  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.41     0.00   100000     0.00     0.03  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      1.41     0.00   100000     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
